feature,importance
std_score,0.11424656132576479
high_score_share,0.09678389557074776
mean_score,0.08886472971893629
median_score,0.08765335555725398
max_threshold_jump,0.08420263902456107
n_students,0.07855553468279962
z_mean_region,0.0750172230292673
score_range,0.053903510225201554
z_mean_context,0.04157287130431901
jump_to_5,0.039041252663905686
z_mean_final,0.03842475950791042
total_students_oo,0.03175782185935144
share_near_4,0.02928458796276823
min_score,0.02611839591826769
jump_to_4,0.02239137798836771
low_score_share,0.01901639788231449
share_near_3,0.013981349007641896
jump_to_3,0.013658565702343828
skewness,0.010465556308134142
max_score,0.010124568259742785
kurtosis,0.008988526245618694
max_threshold_share,0.007776882788146622
share_near_5,0.0077622849330154725
is_special_school,0.0004073525336196512
