Код_региона,ЛогинОО,Класс,Код_предмета,Year,n_students,mean_score,median_score,std_score,min_score,max_score,score_range,high_score_share,low_score_share,skewness,kurtosis,mean_raw_score,std_raw_score,location_type,settlement_size,settlement_name,is_special_school,total_students_oo,jump_to_3,share_near_3,jump_to_4,share_near_4,jump_to_5,share_near_5,max_threshold_jump,max_threshold_share,region_mean,region_std,region_group_count,z_mean_region,context_mean,context_std,context_group_count,z_mean_context,z_mean_final,flag_small_sample,flag_high_mean,flag_low_std,flag_high_min,flag_high_share,flag_threshold_jump,flag_context_extreme,risk_score,profile_type,risk_label
2,sch02123185,4,2,2019,14,0.8214285714285714,0.825,0.09583148474999098,0.65,0.95,0.29999999999999993,0.6428571428571429,0.0,-0.2559055574249754,-1.2633333333333334,16.428571428571427,1.91662969499982,1. Столица субъекта РФ,8. Более 680 тыс. человек,Уфа,0.0,283.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.5,0.07142857142857142,0.5,0.6246782989771268,0.07987265800745758,1219,2.4632994238538344,0.693429334056574,0.06421305966600363,114,1.993352100612706,1.993352100612706,False,False,True,True,True,False,False,3,профиль риска,1
2,sch02123716,4,2,2019,12,0.5958333333333334,0.6,0.062777163222164,0.5,0.7,0.19999999999999996,0.0,0.0,-0.09531885444123449,-1.207358962914087,11.916666666666666,1.2555432644432805,"4. Населенный пункт сельского типа (село, хутор, деревня и пр.)",1. Менее 1 тыс. человек,Осиновка,0.0,116.0,0.0,0.0,0.4166666666666667,0.4166666666666667,-0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.6246782989771268,0.07987265800745758,1219,-0.3611369192333645,0.5994152369144345,0.08048442669259741,540,-0.044504306339682935,-0.044504306339682935,False,False,True,False,False,True,False,3,профиль риска,1
3,sch03130123,4,2,2019,10,0.605,0.6,0.0788986691902975,0.5,0.8,0.30000000000000004,0.1,0.0,1.2094207383503308,1.1369816615861073,12.1,1.57797338380595,"4. Населенный пункт сельского типа (село, хутор, деревня и пр.)",1. Менее 1 тыс. человек,Аргада,0.0,64.0,0.0,0.0,0.4,0.4,-0.1,0.3,0.4,0.4,0.566017729042983,0.09286775143758559,423,0.4197611157110458,0.5547010946534844,0.10462693553729498,212,0.48074527929365013,0.48074527929365013,False,False,True,False,False,True,False,3,профиль риска,1
5,sch05153179,4,2,2019,10,0.875,0.9,0.09287087810503354,0.65,1.0,0.35,0.9,0.0,-1.1235796216866063,0.9035916824196604,17.5,1.857417562100671,"4. Населенный пункт сельского типа (село, хутор, деревня и пр.)",1. Менее 1 тыс. человек,Ново-Аргвани,0.0,159.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.5929949744178625,0.11405161034985606,1278,2.472608889230764,0.5894789565117348,0.12992662360404944,412,2.1975560941103867,2.1975560941103867,False,True,True,True,True,False,False,3,профиль риска,1
5,sch05153246,4,2,2019,40,0.7537499999999999,0.75,0.08615937267645349,0.6,0.9,0.30000000000000004,0.475,0.0,-0.05736629110019159,-1.37104397611891,15.075,1.7231874535290699,"3. Населенный пункт городского типа (рабочий поселок, поселок городского типа и пр.)",4. 10–50 тыс. человек,Белиджи,0.0,304.0,0.0,0.0,0.0,0.0,-0.05,0.7,0.0,0.7,0.5929949744178625,0.11405161034985606,1278,1.4094936940304261,0.6097233434837588,0.09920006549433073,62,1.451880659539204,1.451880659539204,False,False,True,True,True,False,False,3,профиль риска,1
5,sch05153417,4,2,2019,10,0.59,0.575,0.08602325267042625,0.5,0.7,0.19999999999999996,0.0,0.0,0.19322242656067307,-1.6902848794740684,11.8,1.7204650534085253,"4. Населенный пункт сельского типа (село, хутор, деревня и пр.)",1. Менее 1 тыс. человек,Капкайкент,0.0,98.0,0.0,0.0,0.5,0.5,-0.4,0.4,0.5,0.5,0.5929949744178625,0.11405161034985606,1278,-0.02625981701332761,0.5894789565117348,0.12992662360404944,412,0.004010290376305642,0.004010290376305642,False,False,True,False,False,True,False,3,профиль риска,1
5,sch05153562,4,2,2019,17,0.8794117647058823,0.85,0.09557692240748189,0.7,1.0,0.30000000000000004,0.8823529411764706,0.0,-0.059622440943113884,-1.195151084710744,17.58823529411765,1.9115384481496378,"4. Населенный пункт сельского типа (село, хутор, деревня и пр.)",2. 1–5 тыс. человек,Целегюн,0.0,155.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.35294117647058826,0.23529411764705882,0.35294117647058826,0.5929949744178625,0.11405161034985606,1278,2.511291067345997,0.5694163491616224,0.10220614209574624,300,3.0330409619987186,3.0330409619987186,False,True,True,True,True,False,True,4,профиль риска,1
5,sch05153594,4,2,2019,10,0.64,0.675,0.18947295321496416,0.35,0.9,0.55,0.5,0.2,-0.1539235279180542,-1.5711082316245213,12.8,3.7894590642992827,"4. Населенный пункт сельского типа (село, хутор, деревня и пр.)",1. Менее 1 тыс. человек,Кумли,0.0,96.0,0.1,0.1,0.2,0.4,0.4,0.4,0.4,0.4,0.5929949744178625,0.11405161034985606,1278,0.412138201625987,0.5894789565117348,0.12992662360404944,412,0.3888428875226359,0.3888428875226359,False,False,False,False,True,True,False,3,профиль риска,1
5,sch05153677,4,2,2019,10,0.82,0.85,0.08124038404635962,0.7,0.9,0.20000000000000007,0.6,0.0,-0.3804646084815722,-1.557851239669422,16.4,1.6248076809271923,"4. Населенный пункт сельского типа (село, хутор, деревня и пр.)",2. 1–5 тыс. человек,Марага ,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.5929949744178625,0.11405161034985606,1278,1.9903710687275178,0.5694163491616224,0.10220614209574624,300,2.45174747525087,2.45174747525087,False,True,True,True,True,False,False,3,профиль риска,1
5,sch05153704,4,2,2019,25,0.414,0.4,0.09002221947941519,0.3,0.6,0.3,0.0,0.6,0.5645858518573907,-0.71426002929342,8.28,1.8004443895883038,"4. Населенный пункт сельского типа (село, хутор, деревня и пр.)",2. 1–5 тыс. человек,Тураг,0.0,196.0,0.44,0.44,-0.08,0.48,0.0,0.0,0.44,0.48,0.5929949744178625,0.11405161034985606,1278,-1.5694208426237135,0.5694163491616224,0.10220614209574624,300,-1.5206165302279888,-1.5206165302279888,False,False,True,False,False,True,False,3,профиль риска,1
5,sch05153766,4,2,2019,14,0.5285714285714286,0.525,0.058901508937395146,0.4,0.6,0.19999999999999996,0.0,0.07142857142857142,-0.43335409473403674,-0.5108131487889271,10.571428571428571,1.178030178747903,"4. Населенный пункт сельского типа (село, хутор, деревня и пр.)",1. Менее 1 тыс. человек,село Кахабросо,0.0,116.0,0.0,0.0,0.42857142857142855,0.7142857142857143,0.0,0.0,0.42857142857142855,0.7142857142857143,0.5929949744178625,0.11405161034985606,1278,-0.5648630970559133,0.5894789565117348,0.12992662360404944,412,-0.4687840432606137,-0.4687840432606137,False,False,True,False,False,True,False,3,профиль риска,1
5,sch05153835,4,2,2019,17,0.9294117647058823,0.95,0.07870051858976265,0.75,1.0,0.25,0.8823529411764706,0.0,-1.2035166458571296,0.47163009893573316,18.58823529411765,1.5740103717952532,не указано,не указано,не указано,0.0,807.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.5929949744178625,0.11405161034985606,1278,2.949689085985311,0.6105878234007888,0.11570304019016622,260,2.755536421351449,2.755536421351449,False,True,True,True,True,False,True,4,профиль риска,1
5,sch05153863,4,2,2019,11,0.75,0.75,0.0426401432711221,0.65,0.8,0.15000000000000002,0.2727272727272727,0.0,-0.8794529549668907,0.4374999999999951,15.0,0.8528028654224418,не указано,не указано,не указано,0.0,807.0,0.0,0.0,0.0,0.0,0.6363636363636364,1.0,0.6363636363636364,1.0,0.5929949744178625,0.11405161034985606,1278,1.376613842632478,0.6105878234007888,0.11570304019016622,260,1.204913685673923,1.204913685673923,False,False,True,True,False,True,False,4,профиль риска,1
11,sch11110087,4,2,2019,50,0.821,0.85,0.09224424101265076,0.6,1.0,0.4,0.66,0.0,-0.22655954227690372,-0.6644190459243036,16.42,1.844884820253015,2. Город,4. 10–50 тыс. человек,Инта,0.0,524.0,0.0,0.0,0.0,0.0,0.06,0.42,0.06,0.42,0.6384083279289531,0.09718204157116411,295,1.8788622786581337,0.6389306784465829,0.06133695722627944,32,2.968346161707066,2.968346161707066,False,True,True,True,True,False,True,4,профиль риска,1
11,sch11110212,4,2,2019,14,0.8142857142857143,0.8,0.08112726208286104,0.65,0.95,0.29999999999999993,0.7142857142857143,0.0,-0.2661828321449561,-0.6291689201370105,16.285714285714285,1.6225452416572208,"3. Населенный пункт городского типа (рабочий поселок, поселок городского типа и пр.)",3. 5–10 тыс. чел,Междуреченск,0.0,135.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.6384083279289531,0.09718204157116411,295,1.8097725002820644,0.6616119303934417,0.08289611850958886,25,1.8417482825159337,1.8417482825159337,False,False,True,True,True,False,False,3,профиль риска,1
14,sch14143455,4,2,2019,39,0.758974358974359,0.8,0.1079362316915343,0.5,0.9,0.4,0.5128205128205128,0.0,-0.752132541482805,-0.19498188525801208,15.179487179487179,2.158724633830686,"3. Населенный пункт городского типа (рабочий поселок, поселок городского типа и пр.)",3. 5–10 тыс. чел,Чернышевский,0.0,333.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.41025641025641024,0.5641025641025641,0.41025641025641024,0.5641025641025641,0.6105912809137946,0.09820690394780388,545,1.510923082754231,0.6135202049645719,0.07872499511143329,45,1.847623538164726,1.847623538164726,False,False,False,False,True,True,False,3,профиль риска,1
14,sch14143522,4,2,2019,31,0.7693548387096774,0.75,0.12551662231189498,0.5,1.0,0.5,0.4838709677419355,0.0,-0.5396794325632633,0.37383670506361577,15.387096774193548,2.5103324462378995,1. Столица субъекта РФ,6. 100–450 тыс. человек,Якутск,0.0,246.0,0.0,0.0,0.12903225806451613,0.12903225806451613,0.5806451612903226,0.6451612903225806,0.5806451612903226,0.6451612903225806,0.6105912809137946,0.09820690394780388,545,1.616623184458236,0.6379000814502733,0.06872008357620218,33,1.9129015917688277,1.9129015917688277,False,False,False,False,True,True,False,3,профиль риска,1
16,sch16160897,4,2,2019,18,0.836111111111111,0.85,0.09690424190284669,0.6,0.95,0.35,0.6666666666666666,0.0,-0.5210138344966079,-0.3155745535886094,16.72222222222222,1.9380848380569342,"3. Населенный пункт городского типа (рабочий поселок, поселок городского типа и пр.)",3. 5–10 тыс. чел,Богатые Сабы,0.0,212.0,0.0,0.0,0.0,0.0,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.6425132995975866,0.08827334543412951,1292,2.193162732888481,0.6373180825756646,0.08007407680175425,40,2.48261405532797,2.48261405532797,False,True,True,True,True,True,False,5,профиль риска,1
16,sch16161113,4,2,2019,57,0.9307017543859648,0.95,0.08520068464272337,0.7,1.0,0.30000000000000004,0.9122807017543859,0.0,-1.42921700471682,1.3998781982400113,18.614035087719298,1.7040136928544674,2. Город,7. 450–680 тыс. человек,г.Набережные Челны,0.0,689.0,0.0,0.0,0.0,0.0,-0.05263157894736842,0.08771929824561403,0.0,0.08771929824561403,0.6425132995975866,0.08827334543412951,1292,3.2647279127245428,0.6746591357576496,0.07574633779906714,67,3.380263997812295,3.380263997812295,False,True,True,True,True,False,True,4,профиль риска,1
